"ACAP2-201","ACAP2"
"ACAP2-215","ACAP2"
"ACAT1-201","ACAT1"
"ACAT1-217","ACAT1"
"ACAT2-201","ACAT2"
"ACBD3-201","ACBD3"
"ACBD6-201","ACBD6"
"ACBD7-201","ACBD7"
"ACD-201","ACD"
"ACD-202","ACD"
"ACD-213","ACD"
"ACD-214","ACD"
"ACIN1-223","ACIN1"
"ACLY-201","ACLY"
"ACO1-201","ACO1"
"ACO2-201","ACO2"
"ACO2-202","ACO2"
"ACOT13-201","ACOT13"
"ACOT13-203","ACOT13"
"ACOT7-210","ACOT7"
"ACOT8-201","ACOT8"
"ACOX1-201","ACOX1"
"ACOX1-202","ACOX1"
"ACOX3-201","ACOX3"
"ACOX3-202","ACOX3"
"ACP1-201","ACP1"
"ACSF2-201","ACSF2"
"ACSF2-202","ACSF2"
"ACSF2-203","ACSF2"
"ACSF2-207","ACSF2"
"ACSF3-201","ACSF3"
"ACSL1-201","ACSL1"
"ACSL1-202","ACSL1"
"ACSL1-203","ACSL1"
"ACSL1-208","ACSL1"
"ACSL1-210","ACSL1"
"ACSL3-201","ACSL3"
"ACSL4-201","ACSL4"
"ACSL4-202","ACSL4"
"ACSL6-201","ACSL6"
"ACSL6-202","ACSL6"
"ACSL6-203","ACSL6"
"ACSL6-204","ACSL6"
"ACSL6-205","ACSL6"
"ACSL6-211","ACSL6"
"ACSL6-212","ACSL6"
"ACSL6-220","ACSL6"
"ACSL6-221","ACSL6"
"ACSL6-222","ACSL6"
"ACSL6-225","ACSL6"
"ACSL6-227","ACSL6"
"ACSL6-228","ACSL6"
"ACSL6-229","ACSL6"
"ACSL6-231","ACSL6"
"ACSL6-233","ACSL6"
"ACSL6-234","ACSL6"
"ACSS1-201","ACSS1"
"ACTA1-202","ACTA1"
"ACTB-212","ACTB"
"ACTC1-201","ACTC1"
"ACTG1-205","ACTG1"
"ACTL6A-202","ACTL6A"
"ACTN1-201","ACTN1"
"ACTN4-201","ACTN4"
"ACTR10-201","ACTR10"
"ACTR1A-201","ACTR1A"
"ACTR1A-205","ACTR1A"
"ACTR2-201","ACTR2"
"ACTR3-201","ACTR3"
"ACTR5-201","ACTR5"
"ACTR6-201","ACTR6"
"ACTR6-202","ACTR6"
"ACTR6-209","ACTR6"
"ACTR6-212","ACTR6"
"ACTR8-201","ACTR8"
"ACYP1-201","ACYP1"
"ACYP1-205","ACYP1"
"ACYP2-202","ACYP2"
"ACYP2-208","ACYP2"
"ACYP2-209","ACYP2"
"ADA-201","ADA"
"ADAM10-201","ADAM10"
"ADAR-202","ADAR"
"ADAR-208","ADAR"
"ADAR-217","ADAR"
"ADCY3-201","ADCY3"
"ADCY3-202","ADCY3"
"ADCY3-203","ADCY3"
